setting,classifier,rate
"[('frontal', 'neutral-hu1980.dat'), ('frontal', 'neutral-zernike.dat'), ('whole', 'neutral-chebyshev.dat')]",KNN_manhattam,43.81
"[('frontal', 'neutral-hu1980.dat'), ('frontal', 'neutral-zernike.dat'), ('whole', 'neutral-zernike.dat')]",KNN_manhattam,36.6
"[('frontal', 'neutral-hu1980.dat'), ('radial', 'neutral-hu1980.dat'), ('radial', 'neutral-hututu.dat')]",KNN_manhattam,76.29
"[('frontal', 'neutral-hu1980.dat'), ('radial', 'neutral-hu1980.dat'), ('radial', 'neutral-legendre.dat')]",KNN_manhattam,71.65
"[('frontal', 'neutral-hu1980.dat'), ('radial', 'neutral-hu1980.dat'), ('radial', 'neutral-chebyshev.dat')]",KNN_manhattam,71.13
"[('frontal', 'neutral-hu1980.dat'), ('radial', 'neutral-hu1980.dat'), ('radial', 'neutral-zernike.dat')]",KNN_euclidean,37.63
"[('frontal', 'neutral-hu1980.dat'), ('radial', 'neutral-hu1980.dat'), ('sagittal', 'neutral-hu1980.dat')]",KNN_manhattam,65.98
"[('frontal', 'neutral-hu1980.dat'), ('radial', 'neutral-hu1980.dat'), ('sagittal', 'neutral-hututu.dat')]",KNN_manhattam,64.95
"[('frontal', 'neutral-hu1980.dat'), ('radial', 'neutral-hu1980.dat'), ('sagittal', 'neutral-legendre.dat')]",MLP,73.2
"[('frontal', 'neutral-hu1980.dat'), ('radial', 'neutral-hu1980.dat'), ('sagittal', 'neutral-chebyshev.dat')]",MLP,76.29
"[('frontal', 'neutral-hu1980.dat'), ('radial', 'neutral-hu1980.dat'), ('sagittal', 'neutral-zernike.dat')]",KNN_euclidean,33.51
"[('frontal', 'neutral-hu1980.dat'), ('radial', 'neutral-hu1980.dat'), ('transversal', 'neutral-hu1980.dat')]",KNN_manhattam,69.07
"[('frontal', 'neutral-hu1980.dat'), ('radial', 'neutral-hu1980.dat'), ('transversal', 'neutral-hututu.dat')]",KNN_manhattam,77.84
"[('frontal', 'neutral-hu1980.dat'), ('radial', 'neutral-hu1980.dat'), ('transversal', 'neutral-legendre.dat')]",KNN_manhattam,75.26
"[('frontal', 'neutral-hu1980.dat'), ('radial', 'neutral-hu1980.dat'), ('transversal', 'neutral-chebyshev.dat')]",KNN_manhattam,73.2
"[('frontal', 'neutral-hu1980.dat'), ('radial', 'neutral-hu1980.dat'), ('transversal', 'neutral-zernike.dat')]",MLP,35.05
