setting,classifier,rate
"[('frontal', 'husiq'), ('upper', 'husiq')]",KNN_manhattam,34.96
"[('frontal', 'husiq'), ('upper', 'zernike')]",KNN_manhattam,34.84
"[('frontal', 'husiq'), ('upper', 'legendre')]",KNN_manhattam,45.72
"[('frontal', 'husiq'), ('upper', 'chebyshev')]",KNN_manhattam,48.64
"[('frontal', 'husiq'), ('lower', 'spheric')]",KNN_manhattam,33.27
"[('frontal', 'husiq'), ('lower', 'hututu')]",KNN_manhattam,37.38
"[('frontal', 'husiq'), ('lower', 'hu1980')]",KNN_manhattam,31.27
"[('frontal', 'husiq'), ('lower', 'husiq')]",KNN_manhattam,34.46
"[('frontal', 'husiq'), ('lower', 'zernike')]",KNN_manhattam,35.69
"[('frontal', 'husiq'), ('lower', 'legendre')]",KNN_manhattam,37.38
"[('frontal', 'husiq'), ('lower', 'chebyshev')]",KNN_manhattam,37.15
"[('frontal', 'zernike'), ('frontal', 'legendre')]",KNN_manhattam,37.65
"[('frontal', 'zernike'), ('frontal', 'chebyshev')]",KNN_manhattam,36.88
"[('frontal', 'zernike'), ('radial', 'spheric')]",KNN_manhattam,30.12
"[('frontal', 'zernike'), ('radial', 'hututu')]",KNN_manhattam,29.27
"[('frontal', 'zernike'), ('radial', 'hu1980')]",KNN_manhattam,26.58
"[('frontal', 'zernike'), ('radial', 'husiq')]",KNN_manhattam,28.28
"[('frontal', 'zernike'), ('radial', 'zernike')]",KNN_euclidean,26.43
"[('frontal', 'zernike'), ('radial', 'legendre')]",KNN_manhattam,31.12
"[('frontal', 'zernike'), ('radial', 'chebyshev')]",ERROR_NORM,0.0
"[('frontal', 'zernike'), ('sagittal', 'spheric')]",KNN_manhattam,35.65
"[('frontal', 'zernike'), ('sagittal', 'hututu')]",KNN_manhattam,33.12
"[('frontal', 'zernike'), ('sagittal', 'hu1980')]",KNN_manhattam,28.01
"[('frontal', 'zernike'), ('sagittal', 'husiq')]",KNN_manhattam,30.39
"[('frontal', 'zernike'), ('sagittal', 'zernike')]",KNN_euclidean,27.12
"[('frontal', 'zernike'), ('sagittal', 'legendre')]",KNN_manhattam,37.46
"[('frontal', 'zernike'), ('sagittal', 'chebyshev')]",KNN_manhattam,36.65
"[('frontal', 'zernike'), ('transversal', 'spheric')]",KNN_manhattam,37.53
"[('frontal', 'zernike'), ('transversal', 'hututu')]",KNN_manhattam,37.96
"[('frontal', 'zernike'), ('transversal', 'hu1980')]",KNN_manhattam,28.62
"[('frontal', 'zernike'), ('transversal', 'husiq')]",KNN_manhattam,32.58
"[('frontal', 'zernike'), ('transversal', 'zernike')]",KNN_euclidean,27.35
"[('frontal', 'zernike'), ('transversal', 'legendre')]",KNN_manhattam,41.14
"[('frontal', 'zernike'), ('transversal', 'chebyshev')]",KNN_manhattam,38.61
"[('frontal', 'zernike'), ('whole', 'spheric')]",KNN_manhattam,29.62
"[('frontal', 'zernike'), ('whole', 'hututu')]",KNN_manhattam,28.93
"[('frontal', 'zernike'), ('whole', 'hu1980')]",KNN_manhattam,26.74
"[('frontal', 'zernike'), ('whole', 'husiq')]",KNN_manhattam,27.7
"[('frontal', 'zernike'), ('whole', 'zernike')]",KNN_manhattam,25.74
"[('frontal', 'zernike'), ('whole', 'legendre')]",KNN_manhattam,30.27
"[('frontal', 'zernike'), ('whole', 'chebyshev')]",KNN_manhattam,29.77
"[('frontal', 'zernike'), ('upper', 'spheric')]",KNN_manhattam,29.5
"[('frontal', 'zernike'), ('upper', 'hututu')]",KNN_manhattam,30.96
"[('frontal', 'zernike'), ('upper', 'hu1980')]",KNN_manhattam,26.78
"[('frontal', 'zernike'), ('upper', 'husiq')]",KNN_manhattam,28.2
"[('frontal', 'zernike'), ('upper', 'zernike')]",KNN_manhattam,26.43
"[('frontal', 'zernike'), ('upper', 'legendre')]",KNN_manhattam,30.31
"[('frontal', 'zernike'), ('upper', 'chebyshev')]",KNN_manhattam,31.08
"[('frontal', 'zernike'), ('lower', 'spheric')]",KNN_manhattam,28.66
"[('frontal', 'zernike'), ('lower', 'hututu')]",KNN_manhattam,27.12
"[('frontal', 'zernike'), ('lower', 'hu1980')]",KNN_manhattam,26.35
"[('frontal', 'zernike'), ('lower', 'husiq')]",KNN_manhattam,27.35
"[('frontal', 'zernike'), ('lower', 'zernike')]",KNN_manhattam,27.2
"[('frontal', 'zernike'), ('lower', 'legendre')]",KNN_manhattam,29.35
"[('frontal', 'zernike'), ('lower', 'chebyshev')]",DMC_manhattam,26.93
"[('frontal', 'legendre'), ('frontal', 'chebyshev')]",KNN_manhattam,48.87
"[('frontal', 'legendre'), ('radial', 'spheric')]",KNN_manhattam,48.52
"[('frontal', 'legendre'), ('radial', 'hututu')]",KNN_manhattam,48.48
"[('frontal', 'legendre'), ('radial', 'hu1980')]",KNN_manhattam,46.06
"[('frontal', 'legendre'), ('radial', 'husiq')]",KNN_manhattam,48.02
"[('frontal', 'legendre'), ('radial', 'zernike')]",KNN_manhattam,43.99
"[('frontal', 'legendre'), ('radial', 'legendre')]",KNN_manhattam,47.94
"[('frontal', 'legendre'), ('radial', 'chebyshev')]",ERROR_NORM,0.0
"[('frontal', 'legendre'), ('sagittal', 'spheric')]",KNN_manhattam,49.87
"[('frontal', 'legendre'), ('sagittal', 'hututu')]",KNN_manhattam,50.79
"[('frontal', 'legendre'), ('sagittal', 'hu1980')]",KNN_manhattam,47.25
"[('frontal', 'legendre'), ('sagittal', 'husiq')]",KNN_manhattam,48.44
"[('frontal', 'legendre'), ('sagittal', 'zernike')]",KNN_euclidean,37.88
"[('frontal', 'legendre'), ('sagittal', 'legendre')]",KNN_manhattam,50.94
"[('frontal', 'legendre'), ('sagittal', 'chebyshev')]",KNN_manhattam,53.28
"[('frontal', 'legendre'), ('transversal', 'spheric')]",KNN_manhattam,49.83
"[('frontal', 'legendre'), ('transversal', 'hututu')]",KNN_manhattam,59.78
"[('frontal', 'legendre'), ('transversal', 'hu1980')]",KNN_manhattam,48.44
"[('frontal', 'legendre'), ('transversal', 'husiq')]",KNN_manhattam,53.28
"[('frontal', 'legendre'), ('transversal', 'zernike')]",KNN_euclidean,39.19
"[('frontal', 'legendre'), ('transversal', 'legendre')]",KNN_manhattam,55.55
"[('frontal', 'legendre'), ('transversal', 'chebyshev')]",KNN_manhattam,56.74
"[('frontal', 'legendre'), ('whole', 'spheric')]",KNN_manhattam,48.94
"[('frontal', 'legendre'), ('whole', 'hututu')]",KNN_manhattam,50.21
"[('frontal', 'legendre'), ('whole', 'hu1980')]",KNN_manhattam,46.83
"[('frontal', 'legendre'), ('whole', 'husiq')]",KNN_manhattam,47.98
"[('frontal', 'legendre'), ('whole', 'zernike')]",KNN_manhattam,49.02
"[('frontal', 'legendre'), ('whole', 'legendre')]",KNN_manhattam,49.25
"[('frontal', 'legendre'), ('whole', 'chebyshev')]",KNN_manhattam,52.98
"[('frontal', 'legendre'), ('upper', 'spheric')]",KNN_manhattam,47.83
"[('frontal', 'legendre'), ('upper', 'hututu')]",KNN_manhattam,53.44
"[('frontal', 'legendre'), ('upper', 'hu1980')]",KNN_manhattam,46.68
"[('frontal', 'legendre'), ('upper', 'husiq')]",KNN_manhattam,48.67
"[('frontal', 'legendre'), ('upper', 'zernike')]",KNN_manhattam,47.64
"[('frontal', 'legendre'), ('upper', 'legendre')]",KNN_manhattam,49.79
"[('frontal', 'legendre'), ('upper', 'chebyshev')]",KNN_manhattam,53.25
"[('frontal', 'legendre'), ('lower', 'spheric')]",KNN_manhattam,46.1
"[('frontal', 'legendre'), ('lower', 'hututu')]",KNN_manhattam,48.06
"[('frontal', 'legendre'), ('lower', 'hu1980')]",KNN_manhattam,46.52
"[('frontal', 'legendre'), ('lower', 'husiq')]",KNN_manhattam,47.48
"[('frontal', 'legendre'), ('lower', 'zernike')]",KNN_manhattam,46.33
"[('frontal', 'legendre'), ('lower', 'legendre')]",KNN_manhattam,46.98
"[('frontal', 'legendre'), ('lower', 'chebyshev')]",KNN_manhattam,46.75
"[('frontal', 'chebyshev'), ('radial', 'spheric')]",KNN_manhattam,48.75
"[('frontal', 'chebyshev'), ('radial', 'hututu')]",KNN_manhattam,46.87
"[('frontal', 'chebyshev'), ('radial', 'hu1980')]",KNN_manhattam,45.45
"[('frontal', 'chebyshev'), ('radial', 'husiq')]",KNN_manhattam,47.37
"[('frontal', 'chebyshev'), ('radial', 'zernike')]",KNN_manhattam,42.6
"[('frontal', 'chebyshev'), ('radial', 'legendre')]",KNN_manhattam,48.14
"[('frontal', 'chebyshev'), ('radial', 'chebyshev')]",ERROR_NORM,0.0
"[('frontal', 'chebyshev'), ('sagittal', 'spheric')]",KNN_manhattam,51.56
"[('frontal', 'chebyshev'), ('sagittal', 'hututu')]",KNN_manhattam,49.79
"[('frontal', 'chebyshev'), ('sagittal', 'hu1980')]",KNN_manhattam,47.25
"[('frontal', 'chebyshev'), ('sagittal', 'husiq')]",KNN_manhattam,48.52
"[('frontal', 'chebyshev'), ('sagittal', 'zernike')]",KNN_euclidean,37.61
"[('frontal', 'chebyshev'), ('sagittal', 'legendre')]",KNN_manhattam,53.28
"[('frontal', 'chebyshev'), ('sagittal', 'chebyshev')]",KNN_manhattam,50.86
"[('frontal', 'chebyshev'), ('transversal', 'spheric')]",KNN_manhattam,53.02
"[('frontal', 'chebyshev'), ('transversal', 'hututu')]",KNN_manhattam,58.16
"[('frontal', 'chebyshev'), ('transversal', 'hu1980')]",KNN_manhattam,48.94
"[('frontal', 'chebyshev'), ('transversal', 'husiq')]",KNN_manhattam,54.17
"[('frontal', 'chebyshev'), ('transversal', 'zernike')]",KNN_euclidean,38.69
"[('frontal', 'chebyshev'), ('transversal', 'legendre')]",KNN_manhattam,58.51
"[('frontal', 'chebyshev'), ('transversal', 'chebyshev')]",KNN_manhattam,54.55
"[('frontal', 'chebyshev'), ('whole', 'spheric')]",KNN_manhattam,49.14
"[('frontal', 'chebyshev'), ('whole', 'hututu')]",KNN_manhattam,49.37
"[('frontal', 'chebyshev'), ('whole', 'hu1980')]",KNN_manhattam,45.91
"[('frontal', 'chebyshev'), ('whole', 'husiq')]",KNN_manhattam,48.14
"[('frontal', 'chebyshev'), ('whole', 'zernike')]",KNN_manhattam,46.6
"[('frontal', 'chebyshev'), ('whole', 'legendre')]",KNN_manhattam,49.56
"[('frontal', 'chebyshev'), ('whole', 'chebyshev')]",KNN_manhattam,48.41
"[('frontal', 'chebyshev'), ('upper', 'spheric')]",KNN_manhattam,48.48
"[('frontal', 'chebyshev'), ('upper', 'hututu')]",KNN_manhattam,51.9
"[('frontal', 'chebyshev'), ('upper', 'hu1980')]",KNN_manhattam,46.25
"[('frontal', 'chebyshev'), ('upper', 'husiq')]",KNN_manhattam,48.48
"[('frontal', 'chebyshev'), ('upper', 'zernike')]",KNN_manhattam,45.37
"[('frontal', 'chebyshev'), ('upper', 'legendre')]",KNN_manhattam,50.6
"[('frontal', 'chebyshev'), ('upper', 'chebyshev')]",KNN_manhattam,49.52
"[('frontal', 'chebyshev'), ('lower', 'spheric')]",KNN_manhattam,46.06
"[('frontal', 'chebyshev'), ('lower', 'hututu')]",KNN_manhattam,46.68
"[('frontal', 'chebyshev'), ('lower', 'hu1980')]",KNN_manhattam,45.29
"[('frontal', 'chebyshev'), ('lower', 'husiq')]",KNN_manhattam,47.29
"[('frontal', 'chebyshev'), ('lower', 'zernike')]",KNN_manhattam,44.14
"[('frontal', 'chebyshev'), ('lower', 'legendre')]",KNN_manhattam,46.64
"[('frontal', 'chebyshev'), ('lower', 'chebyshev')]",KNN_manhattam,44.03
"[('radial', 'spheric'), ('radial', 'hututu')]",KNN_manhattam,44.56
"[('radial', 'spheric'), ('radial', 'hu1980')]",KNN_manhattam,39.76
"[('radial', 'spheric'), ('radial', 'husiq')]",KNN_manhattam,40.76
"[('radial', 'spheric'), ('radial', 'zernike')]",KNN_manhattam,31.39
"[('radial', 'spheric'), ('radial', 'legendre')]",KNN_manhattam,42.8
"[('radial', 'spheric'), ('radial', 'chebyshev')]",ERROR_NORM,0.0
"[('radial', 'spheric'), ('sagittal', 'spheric')]",KNN_manhattam,41.53
"[('radial', 'spheric'), ('sagittal', 'hututu')]",KNN_manhattam,42.45
"[('radial', 'spheric'), ('sagittal', 'hu1980')]",KNN_manhattam,43.1
"[('radial', 'spheric'), ('sagittal', 'husiq')]",KNN_manhattam,40.8
"[('radial', 'spheric'), ('sagittal', 'zernike')]",KNN_euclidean,29.35
"[('radial', 'spheric'), ('sagittal', 'legendre')]",KNN_euclidean,47.18
"[('radial', 'spheric'), ('sagittal', 'chebyshev')]",KNN_manhattam,49.4
"[('radial', 'spheric'), ('transversal', 'spheric')]",KNN_manhattam,40.34
"[('radial', 'spheric'), ('transversal', 'hututu')]",KNN_manhattam,56.13
"[('radial', 'spheric'), ('transversal', 'hu1980')]",KNN_manhattam,45.72
"[('radial', 'spheric'), ('transversal', 'husiq')]",KNN_manhattam,48.87
"[('radial', 'spheric'), ('transversal', 'zernike')]",KNN_euclidean,30.0
"[('radial', 'spheric'), ('transversal', 'legendre')]",KNN_manhattam,52.32
"[('radial', 'spheric'), ('transversal', 'chebyshev')]",KNN_manhattam,51.4
"[('radial', 'spheric'), ('whole', 'spheric')]",KNN_manhattam,39.57
"[('radial', 'spheric'), ('whole', 'hututu')]",KNN_manhattam,46.75
"[('radial', 'spheric'), ('whole', 'hu1980')]",KNN_manhattam,41.26
