setting,classifier,rate
"[('frontal', 'hu1980'), ('lower', 'husiq')]",KNN_euclidean,71.13
"[('frontal', 'hu1980'), ('lower', 'hututu')]",KNN_euclidean,79.38
"[('frontal', 'hu1980'), ('lower', 'hu1980')]",KNN_manhattam,63.92
"[('frontal', 'hu1980'), ('lower', 'legendre')]",KNN_manhattam,72.68
"[('frontal', 'hu1980'), ('lower', 'chebyshev')]",KNN_manhattam,0.0
"[('frontal', 'hu1980'), ('lower', 'zernike')]",KNN_manhattam,0.0
"[('frontal', 'legendre'), ('frontal', 'chebyshev')]",KNN_manhattam,93.81
"[('frontal', 'legendre'), ('frontal', 'zernike')]",KNN_manhattam,91.75
"[('frontal', 'legendre'), ('radial', 'husiq')]",KNN_manhattam,93.81
"[('frontal', 'legendre'), ('radial', 'hututu')]",KNN_manhattam,93.81
"[('frontal', 'legendre'), ('radial', 'hu1980')]",KNN_manhattam,93.81
"[('frontal', 'legendre'), ('radial', 'legendre')]",KNN_manhattam,0.0
"[('frontal', 'legendre'), ('radial', 'chebyshev')]",ERROR,0.0
"[('frontal', 'legendre'), ('radial', 'zernike')]",KNN_manhattam,0.0
"[('frontal', 'legendre'), ('sagittal', 'husiq')]",KNN_manhattam,93.81
"[('frontal', 'legendre'), ('sagittal', 'hututu')]",KNN_manhattam,91.24
"[('frontal', 'legendre'), ('sagittal', 'hu1980')]",KNN_manhattam,93.81
"[('frontal', 'legendre'), ('sagittal', 'legendre')]",KNN_manhattam,93.81
"[('frontal', 'legendre'), ('sagittal', 'chebyshev')]",KNN_manhattam,91.75
"[('frontal', 'legendre'), ('sagittal', 'zernike')]",KNN_euclidean,92.27
"[('frontal', 'legendre'), ('transversal', 'husiq')]",KNN_manhattam,93.3
"[('frontal', 'legendre'), ('transversal', 'hututu')]",KNN_manhattam,93.3
"[('frontal', 'legendre'), ('transversal', 'hu1980')]",KNN_manhattam,92.78
"[('frontal', 'legendre'), ('transversal', 'legendre')]",KNN_manhattam,93.3
"[('frontal', 'legendre'), ('transversal', 'chebyshev')]",KNN_manhattam,90.72
"[('frontal', 'legendre'), ('transversal', 'zernike')]",KNN_manhattam,90.21
"[('frontal', 'legendre'), ('whole', 'husiq')]",KNN_manhattam,92.78
"[('frontal', 'legendre'), ('whole', 'hututu')]",KNN_manhattam,93.3
"[('frontal', 'legendre'), ('whole', 'hu1980')]",KNN_manhattam,91.75
"[('frontal', 'legendre'), ('whole', 'legendre')]",KNN_manhattam,93.3
"[('frontal', 'legendre'), ('whole', 'chebyshev')]",KNN_manhattam,93.81
"[('frontal', 'legendre'), ('whole', 'zernike')]",KNN_manhattam,94.33
"[('frontal', 'legendre'), ('upper', 'husiq')]",KNN_manhattam,94.33
"[('frontal', 'legendre'), ('upper', 'hututu')]",KNN_manhattam,95.88
"[('frontal', 'legendre'), ('upper', 'hu1980')]",KNN_manhattam,91.75
"[('frontal', 'legendre'), ('upper', 'legendre')]",KNN_manhattam,95.36
"[('frontal', 'legendre'), ('upper', 'chebyshev')]",KNN_manhattam,94.33
"[('frontal', 'legendre'), ('upper', 'zernike')]",KNN_manhattam,96.39
"[('frontal', 'legendre'), ('lower', 'husiq')]",KNN_manhattam,91.24
"[('frontal', 'legendre'), ('lower', 'hututu')]",KNN_manhattam,94.33
