setting,classifier,rate
"[('frontal', 'chebyshev'), ('whole', 'hututu')]",KNN_manhattam,61.34
"[('frontal', 'chebyshev'), ('whole', 'hu1980')]",KNN_manhattam,59.28
"[('frontal', 'chebyshev'), ('whole', 'husiq')]",KNN_manhattam,60.82
"[('frontal', 'chebyshev'), ('whole', 'zernike')]",KNN_manhattam,57.73
"[('frontal', 'chebyshev'), ('whole', 'legendre')]",KNN_manhattam,60.31
"[('frontal', 'chebyshev'), ('whole', 'chebyshev')]",KNN_manhattam,59.28
"[('frontal', 'chebyshev'), ('upper', 'spheric')]",KNN_manhattam,61.34
"[('frontal', 'chebyshev'), ('upper', 'hututu')]",KNN_manhattam,65.46
"[('frontal', 'chebyshev'), ('upper', 'hu1980')]",KNN_manhattam,60.82
"[('frontal', 'chebyshev'), ('upper', 'husiq')]",KNN_manhattam,61.86
"[('frontal', 'chebyshev'), ('upper', 'zernike')]",KNN_manhattam,57.22
"[('frontal', 'chebyshev'), ('upper', 'legendre')]",KNN_manhattam,59.28
"[('frontal', 'chebyshev'), ('upper', 'chebyshev')]",KNN_manhattam,59.28
"[('frontal', 'chebyshev'), ('lower', 'spheric')]",KNN_manhattam,55.67
"[('frontal', 'chebyshev'), ('lower', 'hututu')]",KNN_manhattam,60.82
"[('frontal', 'chebyshev'), ('lower', 'hu1980')]",KNN_manhattam,59.28
"[('frontal', 'chebyshev'), ('lower', 'husiq')]",KNN_manhattam,58.76
"[('frontal', 'chebyshev'), ('lower', 'zernike')]",KNN_manhattam,59.28
"[('frontal', 'chebyshev'), ('lower', 'legendre')]",KNN_manhattam,59.28
"[('frontal', 'chebyshev'), ('lower', 'chebyshev')]",KNN_manhattam,60.31
"[('radial', 'spheric'), ('radial', 'hututu')]",KNN_manhattam,56.19
"[('radial', 'spheric'), ('radial', 'hu1980')]",KNN_manhattam,44.33
"[('radial', 'spheric'), ('radial', 'husiq')]",KNN_manhattam,48.97
"[('radial', 'spheric'), ('radial', 'zernike')]",KNN_euclidean,34.54
"[('radial', 'spheric'), ('radial', 'legendre')]",KNN_manhattam,45.88
"[('radial', 'spheric'), ('radial', 'chebyshev')]",KNN_euclidean,52.06
"[('radial', 'spheric'), ('sagittal', 'spheric')]",KNN_euclidean,56.19
"[('radial', 'spheric'), ('sagittal', 'hututu')]",KNN_manhattam,55.15
"[('radial', 'spheric'), ('sagittal', 'hu1980')]",KNN_manhattam,46.39
"[('radial', 'spheric'), ('sagittal', 'husiq')]",KNN_manhattam,47.42
"[('radial', 'spheric'), ('sagittal', 'zernike')]",KNN_euclidean,25.77
"[('radial', 'spheric'), ('sagittal', 'legendre')]",KNN_euclidean,59.79
"[('radial', 'spheric'), ('sagittal', 'chebyshev')]",KNN_euclidean,62.89
"[('radial', 'spheric'), ('transversal', 'spheric')]",KNN_manhattam,39.18
