setting,classifier,rate
"[('frontal', 'hu1980'), ('lower', 'legendre')]",KNN_manhattam,52.06
"[('frontal', 'hu1980'), ('lower', 'chebyshev')]",KNN_manhattam,52.06
"[('frontal', 'husiq'), ('frontal', 'zernike')]",KNN_manhattam,38.14
"[('frontal', 'husiq'), ('frontal', 'legendre')]",KNN_manhattam,54.64
"[('frontal', 'husiq'), ('frontal', 'chebyshev')]",KNN_manhattam,55.15
"[('frontal', 'husiq'), ('radial', 'spheric')]",KNN_manhattam,62.89
"[('frontal', 'husiq'), ('radial', 'hututu')]",KNN_euclidean,68.04
"[('frontal', 'husiq'), ('radial', 'hu1980')]",KNN_manhattam,55.67
"[('frontal', 'husiq'), ('radial', 'husiq')]",KNN_euclidean,60.31
"[('frontal', 'husiq'), ('radial', 'zernike')]",KNN_manhattam,43.3
"[('frontal', 'husiq'), ('radial', 'legendre')]",KNN_euclidean,64.43
"[('frontal', 'husiq'), ('radial', 'chebyshev')]",KNN_manhattam,63.92
"[('frontal', 'husiq'), ('sagittal', 'spheric')]",KNN_manhattam,65.98
"[('frontal', 'husiq'), ('sagittal', 'hututu')]",KNN_manhattam,61.34
"[('frontal', 'husiq'), ('sagittal', 'hu1980')]",KNN_manhattam,62.37
"[('frontal', 'husiq'), ('sagittal', 'husiq')]",KNN_manhattam,61.86
"[('frontal', 'husiq'), ('sagittal', 'zernike')]",KNN_euclidean,30.41
"[('frontal', 'husiq'), ('sagittal', 'legendre')]",KNN_euclidean,70.1
"[('frontal', 'husiq'), ('sagittal', 'chebyshev')]",KNN_euclidean,67.01
"[('frontal', 'husiq'), ('transversal', 'spheric')]",KNN_manhattam,68.56
"[('frontal', 'husiq'), ('transversal', 'hututu')]",KNN_manhattam,75.26
"[('frontal', 'husiq'), ('transversal', 'hu1980')]",KNN_manhattam,59.28
"[('frontal', 'husiq'), ('transversal', 'husiq')]",KNN_manhattam,68.56
"[('frontal', 'husiq'), ('transversal', 'zernike')]",KNN_euclidean,34.02
"[('frontal', 'husiq'), ('transversal', 'legendre')]",KNN_manhattam,72.16
"[('frontal', 'husiq'), ('transversal', 'chebyshev')]",KNN_manhattam,69.07
"[('frontal', 'husiq'), ('whole', 'spheric')]",KNN_manhattam,59.79
"[('frontal', 'husiq'), ('whole', 'hututu')]",KNN_manhattam,60.82
"[('frontal', 'husiq'), ('whole', 'hu1980')]",KNN_manhattam,53.09
"[('frontal', 'husiq'), ('whole', 'husiq')]",KNN_manhattam,58.25
"[('frontal', 'husiq'), ('whole', 'zernike')]",KNN_manhattam,50.0
"[('frontal', 'husiq'), ('whole', 'legendre')]",KNN_manhattam,60.82
"[('frontal', 'husiq'), ('whole', 'chebyshev')]",KNN_manhattam,60.31
"[('frontal', 'husiq'), ('upper', 'spheric')]",KNN_manhattam,53.09
"[('frontal', 'husiq'), ('upper', 'hututu')]",KNN_manhattam,58.76
"[('frontal', 'husiq'), ('upper', 'hu1980')]",KNN_manhattam,51.55
"[('frontal', 'husiq'), ('upper', 'husiq')]",KNN_manhattam,52.58
"[('frontal', 'husiq'), ('upper', 'zernike')]",KNN_manhattam,43.3
"[('frontal', 'husiq'), ('upper', 'legendre')]",KNN_manhattam,58.76
"[('frontal', 'husiq'), ('upper', 'chebyshev')]",KNN_manhattam,57.22
"[('frontal', 'husiq'), ('lower', 'spheric')]",KNN_manhattam,49.48
"[('frontal', 'husiq'), ('lower', 'hututu')]",KNN_manhattam,57.73
"[('frontal', 'husiq'), ('lower', 'hu1980')]",KNN_manhattam,53.09
"[('frontal', 'husiq'), ('lower', 'husiq')]",KNN_manhattam,54.64
"[('frontal', 'husiq'), ('lower', 'zernike')]",KNN_manhattam,45.88
"[('frontal', 'husiq'), ('lower', 'legendre')]",KNN_manhattam,53.61
"[('frontal', 'husiq'), ('lower', 'chebyshev')]",KNN_manhattam,54.64
"[('frontal', 'zernike'), ('frontal', 'legendre')]",KNN_manhattam,47.42
"[('frontal', 'zernike'), ('frontal', 'chebyshev')]",KNN_manhattam,46.91
"[('frontal', 'zernike'), ('radial', 'spheric')]",KNN_manhattam,43.3
